Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2020-06,FHV - Lux Limo, 315 ,           -           , 447 , 431 , 141 , 9.90 , 2.20 , 9.70 , 2.10 , 51.00 ,-,-
2020-06,Green," 2,103 "," 46,850 ", 856 , 850 , 408 , 14.40 , 4.10 , 14.50 , 4.00 , 17.50 ,71%,-
2020-06,Yellow," 18,325 "," 314,459 "," 2,969 "," 2,965 "," 1,554 ", 15.70 , 6.70 , 16.20 , 6.50 , 12.40 ,68%,-
2020-05,FHV - Black Car," 6,180 ",          -          ," 2,851 "," 2,861 "," 1,186 ", 12.90 , 4.10 , 12.90 , 4.10 , 20.00 ,-,-
2020-05,FHV - High Volume," 196,447 ",          -          ," 27,675 "," 27,881 "," 16,073 ", 17.90 , 6.40 , 18.10 , 6.40 , 15.00 ,-,-
2020-05,FHV - Livery," 17,042 ",          -          ," 3,874 "," 3,838 "," 2,329 ", 18.80 , 4.90 , 18.90 , 4.90 , 14.00 ,-,-
2020-05,FHV - Lux Limo, 191 ,          -          , 343 , 344 , 96 , 8.70 , 2.00 , 8.70 , 1.90 , 47.00 ,-,-
2020-05,Green," 1,850 "," 38,440 ", 830 , 819 , 405 , 15.30 , 3.70 , 15.30 , 3.70 , 16.50 ,73%,-
2020-05,Yellow," 11,237 "," 206,533 "," 2,603 "," 2,609 "," 1,298 ", 15.40 , 5.70 , 15.90 , 5.60 , 11.90 ,67%,-
2020-04,FHV - Black Car," 5,103 ",           -           ," 2,413 "," 2,425 ", 982 , 12.20 , 4.10 , 12.20 , 4.10 , 19.00 ,-,-
2020-04,FHV - High Volume," 143,762 ",           -           ," 22,390 "," 22,527 "," 11,544 ", 15.40 , 6.10 , 15.60 , 6.10 , 13.00 ,-,-
2020-04,FHV - Livery," 10,719 ",           -           ," 2,816 "," 2,794 "," 1,447 ", 15.50 , 5.10 , 15.60 , 5.00 , 13.00 ,-,-
